timestamp,hvac,lighting,lobby,mechanical_room,kitchen
2024-01-01 00:00:00,10.5,1.2,0.83,9.99,3.01
2024-01-01 01:00:00,9.86,1.35,0.86,9.95,3.21
2024-01-01 02:00:00,10.65,1.05,1.32,10.61,2.61
2024-01-01 03:00:00,11.52,0.61,1.64,9.46,2.44
2024-01-01 04:00:00,9.77,1.12,0.68,9.62,3.04
2024-01-01 05:00:00,9.77,0.8,1.35,10.52,2.87
2024-01-01 06:00:00,11.58,0.84,1.34,9.7,3.25
2024-01-01 07:00:00,10.77,8.47,1.92,10.45,6.94
2024-01-01 08:00:00,19.3,8.99,3.81,10.85,7.16
2024-01-01 09:00:00,20.81,8.02,4.19,9.8,2.35
2024-01-01 10:00:00,19.3,8.25,4.07,10.34,3.76
2024-01-01 11:00:00,19.3,9.36,2.93,9.42,2.93
2024-01-01 12:00:00,20.36,8.19,4.38,10.38,7.56
2024-01-01 13:00:00,17.13,10.08,4.11,10.1,6.33
2024-01-01 14:00:00,17.41,8.45,4.25,10.24,3.12
2024-01-01 15:00:00,19.16,6.59,5.96,9.68,2.48
2024-01-01 16:00:00,18.48,8.6,2.96,9.17,3.18
2024-01-01 17:00:00,20.47,8.3,4.86,10.25,6.72
2024-01-01 18:00:00,18.64,9.03,3.86,8.97,7.02
2024-01-01 19:00:00,17.88,8.54,1.59,9.84,3.28
2024-01-01 20:00:00,22.2,7.89,1.49,10.47,2.51
2024-01-01 21:00:00,9.77,7.02,1.37,10.1,2.73
2024-01-01 22:00:00,10.07,7.83,1.33,10.97,3.18
2024-01-01 23:00:00,8.58,0.74,1.6,10.51,3.84
2024-01-02 00:00:00,9.46,0.83,1.04,9.67,2.94
2024-01-02 01:00:00,10.11,1.18,1.73,10.01,3.24
2024-01-02 02:00:00,8.85,1.5,1.38,9.98,2.96
2024-01-02 03:00:00,10.38,1.12,1.16,9.21,3.78
2024-01-02 04:00:00,9.4,0.64,1.36,9.53,2.3
2024-01-02 05:00:00,9.71,1.13,1.88,9.72,3.04
2024-01-02 06:00:00,9.4,1.36,1.34,8.98,2.35
2024-01-02 07:00:00,11.85,7.51,1.61,10.02,4.99
2024-01-02 08:00:00,19.98,7.89,3.63,9.88,7.24
2024-01-02 09:00:00,18.41,8.01,4.38,9.16,3.06
2024-01-02 10:00:00,21.23,7.37,4.34,10.2,2.89
2024-01-02 11:00:00,18.17,8.52,4.92,10.36,2.96
2024-01-02 12:00:00,20.31,7.9,3.91,10.11,9.48
2024-01-02 13:00:00,17.06,8.34,4.33,9.84,6.79
2024-01-02 14:00:00,18.01,7.29,4.05,10.3,3.2
2024-01-02 15:00:00,20.3,7.65,4.65,10.34,2.74
2024-01-02 16:00:00,21.11,8.58,3.64,10.15,3.12
2024-01-02 17:00:00,20.26,7.7,4.37,9.59,6.81
2024-01-02 18:00:00,19.83,9.38,3.9,10.14,6.67
2024-01-02 19:00:00,19.55,7.68,1.48,10.6,3.73
2024-01-02 20:00:00,17.78,8.18,1.53,9.7,3.47
2024-01-02 21:00:00,9.28,8.75,1.58,11.05,3.05
2024-01-02 22:00:00,9.54,6.87,1.47,9.74,2.08
2024-01-02 23:00:00,11.06,0.47,1.56,10.02,2.86
2024-01-03 00:00:00,10.34,0.54,1.97,9.66,4.08
2024-01-03 01:00:00,8.24,1.38,1.8,10.11,2.91
2024-01-03 02:00:00,10.32,0.83,1.76,9.13,3.44
2024-01-03 03:00:00,9.61,1.77,1.36,9.73,3.58
2024-01-03 04:00:00,9.32,0.83,1.23,9.45,3.09
2024-01-03 05:00:00,10.61,1.06,1.79,10.07,2.66
2024-01-03 06:00:00,11.03,1.46,1.76,10.5,2.03
2024-01-03 07:00:00,10.93,9.6,1.94,10.32,7.55
2024-01-03 08:00:00,18.74,9.65,3.7,8.81,6.35
2024-01-03 09:00:00,19.54,8.97,3.89,11.02,3.07
2024-01-03 10:00:00,20.5,8.82,3.18,10.15,2.5
2024-01-03 11:00:00,21.46,8.47,3.8,9.61,2.89
2024-01-03 12:00:00,19.28,8.62,4.5,10.08,7.03
2024-01-03 13:00:00,19.72,7.56,3.77,10.09,7.21
2024-01-03 14:00:00,18.34,7.35,4.32,9.67,2.55
2024-01-03 15:00:00,18.21,8.0,3.9,10.1,3.48
